datetime,forecast_kwh
2024-01-01 00:00:00,155.089294905165
2024-01-01 01:00:00,172.79613290380468
2024-01-01 02:00:00,178.39451372330302
2024-01-01 03:00:00,183.65919150993147
2024-01-01 04:00:00,190.54058169991848
2024-01-01 05:00:00,185.5783781473048
2024-01-01 06:00:00,227.68107713899062
2024-01-01 07:00:00,229.57320923702213
2024-01-01 08:00:00,240.2159811713566
2024-01-01 09:00:00,265.79744295632247
2024-01-01 10:00:00,246.0714673865624
2024-01-01 11:00:00,246.12946753486054
2024-01-01 12:00:00,248.9776038187193
2024-01-01 13:00:00,232.38033801286275
2024-01-01 14:00:00,235.79262041508747
2024-01-01 15:00:00,218.27086684655643
2024-01-01 16:00:00,229.52640369406333
2024-01-01 17:00:00,226.40731831512542
2024-01-01 18:00:00,225.43114824704304
2024-01-01 19:00:00,214.98469643321496
2024-01-01 20:00:00,217.14527057976252
2024-01-01 21:00:00,217.35025501852917
2024-01-01 22:00:00,195.8278599762142
2024-01-01 23:00:00,194.81969529438058
2024-01-02 00:00:00,197.5146911254438
2024-01-02 01:00:00,178.36076817151996
2024-01-02 02:00:00,181.0133613540335
2024-01-02 03:00:00,177.6823282691448
2024-01-02 04:00:00,206.06925615223258
2024-01-02 05:00:00,195.13487035781517
2024-01-02 06:00:00,230.47141867356532
2024-01-02 07:00:00,232.01629266545504
2024-01-02 08:00:00,237.78047460074293
2024-01-02 09:00:00,254.90912265388926
2024-01-02 10:00:00,256.37352683717455
2024-01-02 11:00:00,248.74220999267257
2024-01-02 12:00:00,248.6277758198397
2024-01-02 13:00:00,250.70690977345132
2024-01-02 14:00:00,244.9540672636756
2024-01-02 15:00:00,235.98681574117015
2024-01-02 16:00:00,217.6645750416255
2024-01-02 17:00:00,217.0777552994813
2024-01-02 18:00:00,231.78891854757623
2024-01-02 19:00:00,230.3316189206464
2024-01-02 20:00:00,214.02594007440504
2024-01-02 21:00:00,221.6521121865532
2024-01-02 22:00:00,196.68192776052962
2024-01-02 23:00:00,199.60974241926124
2024-01-03 00:00:00,179.44918074854536
2024-01-03 01:00:00,183.080157219839
2024-01-03 02:00:00,175.0299406990265
2024-01-03 03:00:00,178.1244841932546
2024-01-03 04:00:00,187.10779483371937
2024-01-03 05:00:00,212.63173650567757
2024-01-03 06:00:00,238.53976299938117
2024-01-03 07:00:00,239.88923502564236
2024-01-03 08:00:00,236.85129315020328
2024-01-03 09:00:00,258.8780275739193
2024-01-03 10:00:00,252.79359859953536
2024-01-03 11:00:00,239.6453230107615
2024-01-03 12:00:00,232.98434343540552
2024-01-03 13:00:00,233.45121337604925
2024-01-03 14:00:00,223.3735437952584
2024-01-03 15:00:00,229.02194370438897
2024-01-03 16:00:00,222.00080365307832
2024-01-03 17:00:00,212.07754393882723
2024-01-03 18:00:00,213.38811914018567
2024-01-03 19:00:00,216.26167478723875
2024-01-03 20:00:00,204.4880773143289
2024-01-03 21:00:00,217.0556618826345
2024-01-03 22:00:00,190.77838700805
2024-01-03 23:00:00,178.53811892172706
2024-01-04 00:00:00,181.6343225966712
2024-01-04 01:00:00,166.8520380518547
2024-01-04 02:00:00,179.56508536728356
2024-01-04 03:00:00,188.4298269467707
2024-01-04 04:00:00,188.97053502231196
2024-01-04 05:00:00,194.9714024893265
2024-01-04 06:00:00,212.98306569137054
2024-01-04 07:00:00,225.78437016409907
2024-01-04 08:00:00,245.49514440736021
2024-01-04 09:00:00,243.2403951767879
2024-01-04 10:00:00,243.72919821933405
2024-01-04 11:00:00,234.35324572460786
2024-01-04 12:00:00,243.061078422731
2024-01-04 13:00:00,226.14784698071534
2024-01-04 14:00:00,219.31951529673287
2024-01-04 15:00:00,225.51387589239215
2024-01-04 16:00:00,223.85335445501468
2024-01-04 17:00:00,215.14981452698555
2024-01-04 18:00:00,226.67317398253095
2024-01-04 19:00:00,205.4441390825082
2024-01-04 20:00:00,202.870919067322
2024-01-04 21:00:00,206.3231885614622
2024-01-04 22:00:00,198.04343707811276
2024-01-04 23:00:00,174.86848216630221
2024-01-05 00:00:00,170.0581828287913
2024-01-05 01:00:00,174.55581923228726
2024-01-05 02:00:00,174.83953767733647
2024-01-05 03:00:00,182.69250610709057
2024-01-05 04:00:00,189.50722474763367
2024-01-05 05:00:00,197.34514198771714
2024-01-05 06:00:00,218.16952509215764
2024-01-05 07:00:00,229.3186190370088
2024-01-05 08:00:00,232.23725767157276
2024-01-05 09:00:00,253.84974675339214
2024-01-05 10:00:00,249.30474029596115
2024-01-05 11:00:00,253.98429458278795
2024-01-05 12:00:00,233.24868615066035
2024-01-05 13:00:00,235.9920787293352
2024-01-05 14:00:00,236.77977990030928
2024-01-05 15:00:00,218.2550436955417
2024-01-05 16:00:00,209.65227861524306
2024-01-05 17:00:00,212.0029692658096
2024-01-05 18:00:00,217.46986238537693
2024-01-05 19:00:00,210.55955539668622
2024-01-05 20:00:00,198.14859786486502
2024-01-05 21:00:00,215.04623456423275
2024-01-05 22:00:00,197.36955839036858
2024-01-05 23:00:00,191.21643144682938
2024-01-06 00:00:00,144.2314644144359
2024-01-06 01:00:00,128.73289206967766
2024-01-06 02:00:00,119.47521028813036
2024-01-06 03:00:00,129.48371155439588
2024-01-06 04:00:00,124.93585304132247
2024-01-06 05:00:00,139.92858308846655
2024-01-06 06:00:00,161.2602741908986
2024-01-06 07:00:00,181.5852378297369
2024-01-06 08:00:00,193.39586688790808
2024-01-06 09:00:00,195.38457609691594
2024-01-06 10:00:00,190.94151270028013
2024-01-06 11:00:00,187.10292344298614
2024-01-06 12:00:00,188.3200221667954
2024-01-06 13:00:00,181.90996493428412
2024-01-06 14:00:00,164.11901655995428
2024-01-06 15:00:00,159.9009660375981
2024-01-06 16:00:00,152.03308755590223
2024-01-06 17:00:00,163.17558849368405
2024-01-06 18:00:00,160.99801487481193
2024-01-06 19:00:00,156.84809587692655
2024-01-06 20:00:00,153.23930976404057
2024-01-06 21:00:00,163.27759769286803
2024-01-06 22:00:00,150.63273550703335
2024-01-06 23:00:00,139.44986228366065
2024-01-07 00:00:00,122.93041823924462
2024-01-07 01:00:00,121.63630957926506
2024-01-07 02:00:00,107.99056534959882
2024-01-07 03:00:00,128.87857090653046
2024-01-07 04:00:00,135.761206941558
2024-01-07 05:00:00,129.23506991384465
2024-01-07 06:00:00,158.65741729118417
2024-01-07 07:00:00,168.56931732733133
2024-01-07 08:00:00,171.7859732572947
2024-01-07 09:00:00,196.0086697284801
2024-01-07 10:00:00,187.43773248711398
2024-01-07 11:00:00,184.03095498924532
2024-01-07 12:00:00,193.89604405105965
2024-01-07 13:00:00,182.24842347770243
2024-01-07 14:00:00,162.84417814796365
2024-01-07 15:00:00,159.28908092148987
2024-01-07 16:00:00,151.0925938526434
2024-01-07 17:00:00,161.68872492413263
2024-01-07 18:00:00,159.0264651053337
2024-01-07 19:00:00,145.59298960686363
2024-01-07 20:00:00,151.78819207886576
2024-01-07 21:00:00,148.30602070888696
2024-01-07 22:00:00,135.24514409212344
2024-01-07 23:00:00,117.88955138694435
